"","number","contract_name","name","address","banking","bonus","bike_stands","available_bike_stands","available_bikes","status","last_update","position.lat","position.lng"
"181",10073,"lyon","10073 - INSTITUT D'ART CONTEMPORAIN","Rue Docteur Dolard / Angle rue 4 Septembre",FALSE,FALSE,25,7,17,"OPEN",1695363212000,45.761468,4.872466
"182",2035,"lyon","2035 - CHILDEBERT / RIVIÈRE","",TRUE,FALSE,23,23,0,"OPEN",1695363251000,45.759842,4.835776
"183",9014,"lyon","9014 - QUAI DU COMMERCE","Angle rue Emile Duport",TRUE,FALSE,30,21,9,"OPEN",1695363264000,45.7820006188352,4.81043960203213
"184",3097,"lyon","3097 - AUGAGNEUR / FOSSE AUX OURS","28 QUAI VICTOR AUGAGNEUR",TRUE,FALSE,40,37,2,"OPEN",1695363242000,45.757192,4.840495
"185",3035,"lyon","3035 - PHILOMENE MAGNIN","",TRUE,FALSE,24,5,19,"OPEN",1695363262000,45.752453,4.858785
"186",9022,"lyon","9022 - MASARYK / SAINT-CYR","Angle rue Chinard/rue St Cyr",FALSE,FALSE,13,1,12,"OPEN",1695363165000,45.778639,4.8071
"187",3138,"lyon","3138 - VIVIER MERLE / PAUL BERT OUEST","Devant l'hôtel IBIS",FALSE,FALSE,19,18,1,"OPEN",1695362948000,45.757484,4.858386
"188",10112,"lyon","10112 - PLACE DE LA RECONNAISSANCE","105 ROUTE DE GENAS (VILLEURBANNE)",TRUE,FALSE,32,31,1,"OPEN",1695362984000,45.754415,4.885249
"189",4024,"lyon","4024 - LYON METROPOLE","FACE AU 81 QUAI JOSEPH GILLET",TRUE,FALSE,25,16,9,"OPEN",1695362897000,45.788204,4.818572
"190",15001,"lyon","15001 - ST PRIEST - PARC TECHNOLOGIQUE","",TRUE,FALSE,20,7,13,"OPEN",1695363190000,45.714426,4.930975
"191",8041,"lyon","8041 - ETATS-UNIS / VIVIANI","170 Boulevard des Etats-Unis, Angle Avenue Viviani, direction Venissieux",TRUE,FALSE,20,3,17,"OPEN",1695363084000,45.724775,4.870745
"192",2008,"lyon","2008 - PLACE ANTONIN PONCET","Côté rue des Marroniers",TRUE,FALSE,40,37,3,"OPEN",1695363126000,45.756775,4.833917
"193",7019,"lyon","7019 - CROIX BARRET / BOURDEIX","",FALSE,FALSE,32,0,32,"OPEN",1695363194000,45.736722,4.841079
"194",1005,"lyon","1005 - MEISSONNIER","Place Meissonier - Angle Sud-Est de la place",FALSE,FALSE,16,16,0,"OPEN",1695363253000,45.766073,4.832849
"195",6040,"lyon","6040 - LES HALLES","71 COURS LAFAYETTE",TRUE,FALSE,15,6,9,"OPEN",1695363061000,45.764013,4.849933
"196",10044,"lyon","10044 - ROCARD OCTAVIE","",FALSE,FALSE,25,4,21,"OPEN",1695363174000,45.7809037283842,4.88958755288143
"197",2022,"lyon","2022 - PLACE CARNOT","Angle rue Plessier",TRUE,FALSE,30,26,4,"OPEN",1695363200000,45.751233,4.82688
"198",4014,"lyon","4014 - PHILIPPE DE LASSALLE / PILLEMENT","Angle rue Pillement",FALSE,TRUE,13,13,0,"OPEN",1695362768000,45.777431,4.820526
